Symbol,Open,High,Low,Close,Volume,Market_Cap,Time
ETH,1821.1920992225,1824.3289058504,1774.8724650207,1795.7080919438,6199721188.44,216307003100.76,2023-04-02T23:59:59.999Z
ETH,1794.9224275133,1839.1577971091,1765.5188951201,1810.2971389314,9643826400.76,218064367254.84,2023-04-03T23:59:59.999Z
ETH,1810.1421355113,1886.5946607041,1802.9554226234,1871.0051760383,10398322334.89,225377122390.06,2023-04-04T23:59:59.999Z
ETH,1870.9651134386,1937.4975566589,1865.9418825207,1909.1140628977,10319231688.65,229967634146.98,2023-04-05T23:59:59.999Z
ETH,1909.143508753,1909.2717499575,1857.0850481525,1872.9226620075,8263191830.26,225608098485.43,2023-04-06T23:59:59.999Z
ETH,1872.734108075,1882.2992319959,1845.9939360968,1865.6360612511,8356130492.47,224730370763.71,2023-04-07T23:59:59.999Z
ETH,1864.6790820215,1879.1078158135,1848.8754745909,1849.4981769721,5016362733.1,222786437114.12,2023-04-08T23:59:59.999Z
ETH,1849.6722517235,1873.0573660031,1828.7001209059,1859.3877707862,6361497714.76,223977715590.51,2023-04-09T23:59:59.999Z
ETH,1859.7411671193,1917.3001424765,1848.1641464424,1911.2075109013,8380134275.42,230219806237.67,2023-04-10T23:59:59.999Z
ETH,1911.3758037647,1936.7282705686,1886.5342226647,1892.189715911,8877222956.13,227928964948.72,2023-04-11T23:59:59.999Z
ETH,1891.9497643471,1929.8812174913,1860.0368257459,1920.682189487,11010714186.59,231361104948.42,2023-04-12T23:59:59.999Z
ETH,1917.6983218506,2022.1501440583,1901.8603891895,2012.6346440046,12546950499.3,242437493117.35,2023-04-13T23:59:59.999Z
ETH,2013.9306402022,2126.316660772,2011.5032550558,2101.6355001253,16298099411.44,252646950002.52,2023-04-14T23:59:59.999Z
ETH,2101.616398405,2111.0753481017,2076.5107395038,2092.4668534715,8036468152.59,251325536962.21,2023-04-15T23:59:59.999Z
ETH,2092.2809465967,2137.4451201451,2076.8320033487,2120.0058201151,7898126855.88,253800479048.38,2023-04-16T23:59:59.999Z
ETH,2120.0012396305,2120.1135626334,2063.0386843882,2076.2430038239,9648882545.8,247975491589.17,2023-04-17T23:59:59.999Z
ETH,2075.8552615501,2121.5315194109,2057.6538620191,2104.5372669455,9134015142.68,251214922677.43,2023-04-18T23:59:59.999Z
ETH,2103.9463627515,2104.8572731837,1928.5828916395,1936.4034646782,13779745450.97,231098233851.34,2023-04-19T23:59:59.999Z
ETH,1936.4179077583,1979.573337236,1918.1327647101,1943.0976697035,11324135406.44,234005095167.34,2023-04-20T23:59:59.999Z
ETH,1943.4099239574,1955.6491214774,1827.7889939322,1849.9998459932,12044274581.17,222770468530.71,2023-04-21T23:59:59.999Z
ETH,1849.2864910365,1886.7816740818,1845.849253198,1874.2285806104,6970642725.98,225683705622.92,2023-04-22T23:59:59.999Z
ETH,1874.1715139648,1882.2296926797,1838.9924064358,1862.0620571837,6607451861.62,224214876354.3,2023-04-23T23:59:59.999Z
ETH,1862.0853137599,1888.1936772477,1811.792082619,1842.7574513807,8438191337.54,221884640081.19,2023-04-24T23:59:59.999Z
ETH,1842.20439118,1877.4849998566,1805.322835116,1866.7536026164,8677255481.49,224770081704.09,2023-04-25T23:59:59.999Z
ETH,1866.1489341049,1962.5676586667,1792.4638100278,1866.564236591,14356524696.41,224743281403.41,2023-04-26T23:59:59.999Z
ETH,1866.6932767714,1936.9451543717,1863.1479852524,1908.7864037137,14008145805.92,229822540123.19,2023-04-27T23:59:59.999Z
ETH,1909.2731245103,1923.1992590358,1876.2918440681,1892.5127615707,7691759733.39,227866713240.43,2023-04-28T23:59:59.999Z
ETH,1892.5650308358,1916.9737865525,1887.9905286189,1908.9169855457,4796651245.87,229830520243.3,2023-04-29T23:59:59.999Z
ETH,1908.7413045581,1938.4179717168,1876.9243269741,1876.9243269741,6539641957.29,225975170377.92,2023-04-30T23:59:59.999Z
ETH,1868.8910607926,1886.2064498216,1809.1932146219,1831.9547997998,8625783200.5,220556145427.76,2023-05-01T23:59:59.999Z
ETH,1831.7265305707,1879.7595743342,1824.3270696947,1870.7892659124,7536785767.45,225222354683.52,2023-05-02T23:59:59.999Z
ETH,1870.687115686,1915.504184151,1845.8718323806,1904.651898117,8306390868.53,229285466097.66,2023-05-03T23:59:59.999Z
ETH,1905.1689840561,1915.8716856168,1868.6297278773,1877.7041428906,6578438233.42,226030254515.46,2023-05-04T23:59:59.999Z
ETH,1877.8331774552,1998.4135547785,1876.9466254067,1995.0608851615,9498261359.65,240145032619.42,2023-05-05T23:59:59.999Z
ETH,1995.4791811819,2017.55948262,1870.6055862279,1900.2217837952,9623243036.5,228705408822.97,2023-05-06T23:59:59.999Z
ETH,1899.9176430515,1933.998353135,1873.0764708369,1873.0764708369,6883942236.42,225414591269.9,2023-05-07T23:59:59.999Z
ETH,1872.4751384308,1886.1621296463,1818.4505648411,1849.042756465,9895102898.68,222504389357.37,2023-05-08T23:59:59.999Z
ETH,1849.0610410329,1860.6674775378,1832.9069979727,1848.603129681,6129516088.49,222433950191.07,2023-05-09T23:59:59.999Z
ETH,1848.2135452727,1886.8002994553,1795.6688771416,1842.4014364488,9945549603.27,221673504868.32,2023-05-10T23:59:59.999Z
ETH,1842.4921237221,1842.4921237221,1774.1325482637,1796.4906137076,8353828311.69,216135216883.07,2023-05-11T23:59:59.999Z
